Day 1- Position 1 11-26-51 v2-JT,01:00:18:23,.start,.start
Day 1- Position 1 11-26-51 v2-JT,01:00:39:21,end,end
Day 1- Position 2 11-27-14 v2-JT,01:00:43:01,.start,.start
Day 1- Position 2 11-27-14 v2-JT,01:01:03:08,end,end
Day 1- Position 3 11-27-51 v2-JT,01:01:21:10,.start,.start
Day 1- Position 3 11-27-51 v2-JT,01:01:37:21,1.c5+,move
Day 1- Position 3 11-27-51 v2-JT,01:01:53:14,end,end
Day 1- Position 4 11-28-19 v2-JT,01:02:01:10,.start,.start
Day 1- Position 4 11-28-19 v2-JT,01:02:06:09,1.c5+,move
Day 1- Position 4 11-28-19 v2-JT,01:02:36:09,1.Kxc5,move
Day 1- Position 4 11-28-19 v2-JT,01:02:27:20,1.Qxc5,alternate
Day 1- Position 4 11-28-19 v2-JT,01:02:30:13,2.Na4+,alternate
Day 1- Position 4 11-28-19 v2-JT,01:02:34:02,.reset,.reset
Day 1- Position 4 11-28-19 v2-JT,01:02:38:12,2.Ne4+,move
Day 1- Position 4 11-28-19 v2-JT,01:02:42:11,end,end
Day 1- Position 5 11-33-02 v2-JT,01:05:27:21,.start,.start
Day 1- Position 5 11-33-02 v2-JT,01:05:44:12,1.Rb8,move
Day 1- Position 5 11-33-02 v2-JT,01:05:49:19,2.Rb5,move
Day 1- Position 5 11-33-02 v2-JT,01:06:15:19,2.Ba2,move
Day 1- Position 5 11-33-02 v2-JT,01:05:54:10,2.Kg8,alternate
Day 1- Position 5 11-33-02 v2-JT,01:05:57:19,3.Rxb1,alternate
Day 1- Position 5 11-33-02 v2-JT,01:06:00:08,.reset,.reset
Day 1- Position 5 11-33-02 v2-JT,01:06:21:12,3.Rb8+,move
Day 1- Position 5 11-33-02 v2-JT,01:06:32:23,3.Bg8,move
Day 1- Position 5 11-33-02 v2-JT,01:06:38:05,end,end
Day 1- Position 6 11-35-09 v2-JT,01:07:17:22,.start,.start
Day 1- Position 6 11-35-09 v2-JT,01:07:41:10,4.g6,move
Day 1- Position 6 11-35-09 v2-JT,01:07:37:09,4.h6,alternate
Day 1- Position 6 11-35-09 v2-JT,01:07:40:00,.reset,.reset
Day 1- Position 6 11-35-09 v2-JT,01:07:43:00,end,end
Day 1- Position 7 11-37-23 v2-JT,01:09:08:01,.start,.start
Day 1- Position 7 11-37-23 v2-JT,01:10:09:10,5.Rh2+,move
Day 1- Position 7 11-37-23 v2-JT,01:09:40:02,5.Rhh8,alternate 1
Day 1- Position 7 11-37-23 v2-JT,01:09:41:10,.reset,.reset
Day 1- Position 7 11-37-23 v2-JT,01:09:42:17,5.Rah8,alternate 2
Day 1- Position 7 11-37-23 v2-JT,01:09:44:00,force .reset,force .reset
Day 1- Position 7 11-37-23 v2-JT,01:09:52:02,5.Qb3#,alternate 2
Day 1- Position 7 11-37-23 v2-JT,01:09:57:13,.reset,.reset
Day 1- Position 7 11-37-23 v2-JT,01:10:20:17,5.Kd1,move
Day 1- Position 7 11-37-23 v2-JT,01:10:27:08,6.Rxa4,move
Day 1- Position 7 11-37-23 v2-JT,01:10:37:20,6.Qd6+,move
Day 1- Position 7 11-37-23 v2-JT,01:10:53:18,7.Rb4,move
Day 1- Position 7 11-37-23 v2-JT,01:11:05:20,7.Qxh2,move
Day 1- Position 7 11-37-23 v2-JT,01:11:12:20,8.Rb1+,move
Day 1- Position 7 11-37-23 v2-JT,01:11:15:03,8.Kc2,move
Day 1- Position 7 11-37-23 v2-JT,01:11:16:21,9.Rb2+,move
Day 1- Position 7 11-37-23 v2-JT,,9.Kd3,move
Day 1- Position 7 11-37-23 v2-JT,,10.Rxh2,move
Day 1- Position 7 11-37-23 v2-JT,01:11:26:12,end,end
Day 1- Position 8 11-47-39,01:17:22:00,.start,.start
Day 1- Position 8 11-47-39,01:17:41:00,5.Nc7,move
Day 1- Position 8 11-47-39,01:17:47:07,5.Rxd1,move
Day 1- Position 8 11-47-39,01:17:48:15,6.Rxd1,move
Day 1- Position 8 11-47-39,01:18:13:00,end,end
Day 1- Position 9 11-56-50 v2-JT,01:22:21:10,.start,.start
Day 1- Position 9 11-56-50 v2-JT,01:23:21:16,6.c8=R,move
Day 1- Position 9 11-56-50 v2-JT,01:22:41:07,6.c8=Q,alternate
Day 1- Position 9 11-56-50 v2-JT,01:22:51:17,6.Rc4+,alternate
Day 1- Position 9 11-56-50 v2-JT,01:23:02:04,7.Qxc4,alternate
Day 1- Position 9 11-56-50 v2-JT,01:23:14:00,.reset,.reset
Day 1- Position 9 11-56-50 v2-JT,01:23:42:00,6.Ra4,move
Day 1- Position 9 11-56-50 v2-JT,01:23:52:00,7.Kb3,move
Day 1- Position 9 11-56-50 v2-JT,01:24:01:07,end,end
Day 1- Position 10 11-59-24,01:24:40:19,.start,.start
Day 1- Position 10 11-59-24,01:26:23:14,7.Nb6,move
Day 1- Position 10 11-59-24,01:25:01:11,7.Bxe3,alternate 1
Day 1- Position 10 11-59-24,01:25:05:10,.reset,.reset
Day 1- Position 10 11-59-24,01:25:17:05,7.Ne6,alternate 2
Day 1- Position 10 11-59-24,01:25:19:05,7.Bxf4,alternate 2
Day 1- Position 10 11-59-24,01:25:20:00,8.Nxf4,alternate 2
Day 1- Position 10 11-59-24,01:25:41:09,.reset,.reset
Day 1- Position 10 11-59-24,01:27:27:04,7.Kxb6,move
Day 1- Position 10 11-59-24,01:26:37:01,7.Bxf4,alternate1
Day 1- Position 10 11-59-24,01:26:40:06,8.Nc4#,alternate1
Day 1- Position 10 11-59-24,01:27:02:10,.reset,.reset
Day 1- Position 10 11-59-24,01:27:07:02,7.Bxb6,alternate 2
Day 1- Position 10 11-59-24,01:27:10:17,8.Bd2#,alternate 2
Day 1- Position 10 11-59-24,01:27:22:10,.reset,.reset
Day 1- Position 10 11-59-24,01:27:32:07,8.Nd5+,move
Day 1- Position 10 11-59-24,01:27:35:18,8.Kc5,move
Day 1- Position 10 11-59-24,01:27:36:18,9.Nxe3,move
Day 1- Position 10 11-59-24,01:27:51:06,end,end
Day 1- Position 11 12-21-33 v2-JT,01:29:37:02,.start,.start
Day 1- Position 11 12-21-33 v2-JT,01:30:31:20,12.Rh4,move
Day 1- Position 11 12-21-33 v2-JT,01:30:09:19,12.Ra3+,alternate
Day 1- Position 11 12-21-33 v2-JT,01:30:10:20,12.Kxc4,alternate
Day 1- Position 11 12-21-33 v2-JT,01:30:12:03,.reset,.reset
Day 1- Position 11 12-21-33 v2-JT,01:30:42:05,12.Rxh4,move
Day 1- Position 11 12-21-33 v2-JT,01:30:44:10,13.Ra3+,move
Day 1- Position 11 12-21-33 v2-JT,01:30:48:05,13.Kd4,move
Day 1- Position 11 12-21-33 v2-JT,01:30:49:06,14.Ra4+,move
Day 1- Position 11 12-21-33 v2-JT,,14.Kd3,move
Day 1- Position 11 12-21-33 v2-JT,,15.Rxh4,move
Day 1- Position 11 12-21-33 v2-JT,01:30:56:10,end,end
Day 1- Position 12 12-23-02,01:31:21:04,.start,.start
Day 1- Position 12 12-23-02,01:32:05:11,12.O-O-O,move
Day 1- Position 12 12-23-02,01:31:31:03,12.Rh4,alternate
Day 1- Position 12 12-23-02,01:31:35:03,12.Rxh4,alternate
Day 1- Position 12 12-23-02,01:31:38:23,13.Ra3+,alternate
Day 1- Position 12 12-23-02,01:31:39:22,13.Kf4,alternate
Day 1- Position 12 12-23-02,01:31:41:02,14.Ra4+,alternate
Day 1- Position 12 12-23-02,01:31:42:20,14.Kg5,alternate
Day 1- Position 12 12-23-02,01:31:46:00,.reset,.reset
Day 1- Position 12 12-23-02,01:32:29:10,end,end
Day 1- Position 13 12-25-04,01:33:07:16,.start,.start
Day 1- Position 13 12-25-04,01:35:21:02,12.Rb6+,move
Day 1- Position 13 12-25-04,01:34:01:04,12.Ka6,alternate
Day 1- Position 13 12-25-04,01:34:06:03,12.Qxh6+,alternate
Day 1- Position 13 12-25-04,01:34:09:16,.reset,.reset
Day 1- Position 13 12-25-04,01:35:26:10,12.Bxb6,move
Day 1- Position 13 12-25-04,01:35:31:09,13.Ka6,move
Day 1- Position 13 12-25-04,01:35:56:05,13.Rd7,move
Day 1- Position 13 12-25-04,01:35:38:12,13.Kc7,alternate 1
Day 1- Position 13 12-25-04,01:35:39:22,14.Qb7#,alternate 1
Day 1- Position 13 12-25-04,01:35:44:10,.reset,.reset
Day 1- Position 13 12-25-04,01:35:51:07,13.Qe7,alternate 2
Day 1- Position 13 12-25-04,01:35:53:07,14.Qxe7,alternate 2
Day 1- Position 13 12-25-04,01:35:55:03,.reset,.reset
Day 1- Position 13 12-25-04,01:36:16:07,14.Qa8+,move
Day 1- Position 13 12-25-04,01:36:27:06,14.Kxa8,move
Day 1- Position 13 12-25-04,01:36:24:22,14.Kc7,alternate
Day 1- Position 13 12-25-04,01:36:25:22,15.Qxf8,alternate
Day 1- Position 13 12-25-04,01:36:26:05,.reset,.reset
Day 1- Position 13 12-25-04,01:36:33:06,15.Nxb6+,move
Day 1- Position 13 12-25-04,01:36:37:00,15.Kb8,move
Day 1- Position 13 12-25-04,01:36:38:06,16.Nxd7+,move
Day 1- Position 13 12-25-04,01:36:43:22,16.Kc7,move
Day 1- Position 13 12-25-04,01:36:44:23,17.Nxf8,move
Day 1- Position 13 12-25-04,01:36:56:05,end,end
